"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"21";"";"TASTER";"TASTER";"SW01, SW02, SW03, SW04, SW05, SW06, SW07, SW08, SW09, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21";"";"";
"1";"0";"R-EU_R1206";"R1206";"R30";"RESISTOR, European symbol";"";
"1";"0,022µF";"C-EUC1206";"C1206";"C2";"CAPACITOR, European symbol";"";
"1";"0,047µF";"C-EUC1206";"C1206";"C1";"CAPACITOR, European symbol";"";
"10";"100nF";"C-EUC1206";"C1206";"C7, C8, C13, C14, C16, C17, C19, C23, C24, C35";"CAPACITOR, European symbol";"";
"7";"10k";"R-EU_R1206";"R1206";"R13, R18, R20, R26, R27, R32, R33";"RESISTOR, European symbol";"";
"1";"10µF";"CPOL-EUCT3216";"CT3216";"C4";"POLARIZED CAPACITOR, European symbol";"";
"1";"10µH";"L-EUL1812";"L1812";"L1";"INDUCTOR, European symbol";"";
"1";"1M";"R-EU_R1206";"R1206";"R31";"RESISTOR, European symbol";"";
"5";"1k";"R-EU_R1206";"R1206";"R3, R7, R8, R16, R19";"RESISTOR, European symbol";"";
"13";"1nF";"C-EUC1206";"C1206";"C9, C10, C11, C12, C18, C20, C25, C26, C28, C29, C30, C31, C32";"CAPACITOR, European symbol";"";
"2";"1µF";"C-EUC1206";"C1206";"C21, C22";"CAPACITOR, European symbol";"";
"2";"220";"R-EU_R1206";"R1206";"R4, R23";"RESISTOR, European symbol";"";
"2";"220k";"R-EU_R1206";"R1206";"R10, R17";"RESISTOR, European symbol";"";
"2";"22pF";"C-EUC1206";"C1206";"C5, C6";"CAPACITOR, European symbol";"";
"4";"22µF";"CPOL-EUCT3216";"CT3216";"C3, C15, C33, C34";"POLARIZED CAPACITOR, European symbol";"";
"1";"25LC080SN";"25LC080SN";"SO-08";"IC7";"Serial EEPROM 4K/ 8K , SPI bus";"";
"5";"3,3k";"R-EU_R1206";"R1206";"R1, R11, R12, R21, R22";"RESISTOR, European symbol";"";
"1";"33k";"R-EU_R1206";"R1206";"R6";"RESISTOR, European symbol";"";
"2";"4,7k";"R-EU_R1206";"R1206";"R2, R5";"RESISTOR, European symbol";"";
"1";"470";"R-EU_R1206";"R1206";"R25";"RESISTOR, European symbol";"";
"3";"47k";"R-EU_R1206";"R1206";"R9, R15, R29";"RESISTOR, European symbol";"";
"1";"50k";"R-EU_R1206";"R1206";"R28";"RESISTOR, European symbol";"";
"3";"52207-1085";"52207-1085";"MOLEX_52207-1085";"X1, X6, X7";"SOCKET FPC, SMT, 1MM, 10 WAY";"";
"2";"BCX19SMD";"BCX19SMD";"SOT23-BEC";"T5, T6";"NPN Transistor";"";
"1";"DISPLAY";"DISPLAY";"DISPLAY";"DISPLAY1";"Display President George";"";
"1";"Farnell: 1640903RL";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";
"10";"G";"LEDCHIPLED_1206";"CHIPLED_1206";"LED01, LED03, LED05, LED07, LED09, LED11, LED13, LED15, LED17, LED19";"LED";"";
"1";"Goldcap";"53047-02";"53047-02";"X2";"CONNECTOR";"";
"1";"I/O";"53047-04";"53047-04";"X3";"CONNECTOR";"";
"1";"I2C";"53047-02";"53047-02";"X4";"CONNECTOR";"";
"1";"ISL95811UFUZ";"ISL95811UFUZ";"MSOP8";"IC9";"";"";
"1";"LM393D";"LM393D";"SO08";"IC2";"COMPARATOR";"";
"2";"LOCH";"LOCH";"LOCH";"LOCH1, LOCH2";"";"";
"1";"MEGA128-A";"MEGA128-A";"TQFP64";"IC1";"MICROCONTROLLER";"";
"2";"PCA9555D";"PCA9555D";"SO24";"IC5, IC6";"16-bit I2C and SMBus I/O port with interrupt";"";
"1";"PCF8576";"PCF8576";"LQFP-ST-64-2";"IC8";"PCF8576";"";
"5";"POTI";"POTI";"POTI";"CLARIFIER, RF-POWER, SQUELCH, SWR/CAL, VOLUME";"";"";
"1";"PTT/+-";"53047-02";"53047-02";"X5";"CONNECTOR";"";
"2";"PZT2222A";"PZT2222A-NPN-SOT223";"SOT223";"T1, T4";"NPN Transistror";"";
"10";"R";"LEDCHIPLED_1206";"CHIPLED_1206";"LED02, LED04, LED06, LED08, LED10, LED12, LED14, LED16, LED18, LED20";"LED";"";
"3";"RLS4148";"DIODE-SOD80C";"SOD80C";"D1, D2, D3";"DIODE";"";
"1";"RLZTE-115.1B";"ZENER-DIODESOD80C";"SOD80C";"D4";"Z-Diode";"";
"1";"ROTARY_SWITCH";"ROTARY_SWITCH";"ROTARY_SWITCH";"SW22";"";"";
"2";"TLC59116";"TLC59116";"TSSOP28";"IC3, IC4";"";"";
